est_total_pop_u18,est_total_pop_u18_in_households,est_total_pop_u18_in_households_5yrs,est_total_pop_u18_in_households_6to8yrs,total_pop,est_total_household_income,est_total_household_income_u10k,est_total_household_income_10to15k,est_total_household_income_15to20k,est_total_household_income_20to25k,est_total_household_income_25to30k,est_total_household_income_30to35k,est_total_household_income_35to40k,est_total_household_income_40to45k,est_total_household_income_45to50k,est_total_household_income_50to60k,est_total_household_income_60to75k,est_total_household_income_75to100k,est_total_household_income_100to125k,est_total_household_income_125to150k,est_total_household_income_150to200k,est_total_household_income_200kplus,state,county,tract,GEOID
880,880,0,76,5462,2520,163,141,106,130,134,148,134,54,160,233,390,335,132,49,167,44,42,003,523702,42003523702
277,277,6,55,2269,1261,29,57,85,91,32,76,62,50,38,163,172,136,98,20,54,98,42,003,525200,42003525200
491,491,45,99,2346,935,42,8,18,25,38,46,21,62,27,87,85,115,84,27,129,121,42,003,525300,42003525300
1451,1451,111,265,7400,3159,64,32,251,51,51,80,92,177,116,196,254,386,393,309,368,339,42,003,526101,42003526101
754,754,29,158,4014,1654,24,56,39,37,62,44,26,52,61,166,183,251,269,227,86,71,42,003,526301,42003526301
164,147,0,0,1691,984,131,80,82,102,26,57,71,15,116,114,75,78,17,8,0,12,42,003,560400,42003560400
570,570,0,183,4053,2593,244,154,320,181,152,247,110,192,109,272,183,205,100,40,38,46,42,003,561400,42003561400
1323,1323,21,175,6391,2604,105,0,149,76,75,28,50,123,35,143,187,266,283,177,291,616,42,003,413100,42003413100
1244,1244,20,219,5120,1913,22,45,51,34,37,92,19,50,28,70,148,321,199,150,434,213,42,003,414101,42003414101
166,166,14,39,1574,846,5,46,59,52,39,50,31,67,76,111,93,75,64,25,34,19,42,003,416000,42003416000
1024,1024,54,152,4615,1936,86,39,40,90,34,109,67,59,28,149,115,202,189,82,256,391,42,003,421100,42003421100
850,850,31,130,4053,1812,55,47,51,67,44,39,36,90,47,181,195,350,224,148,153,85,42,003,429400,42003429400
368,368,27,89,2115,909,23,45,71,52,37,31,33,55,47,37,82,138,74,49,89,46,42,003,526102,42003526102
455,455,20,28,2428,1181,185,49,183,74,93,82,53,44,56,74,94,64,62,22,15,31,42,003,552000,42003552000
278,278,0,13,1898,865,33,25,26,11,36,55,36,29,19,49,102,167,81,74,75,47,42,003,491200,42003491200
647,647,9,88,3104,1504,120,40,191,181,136,100,91,26,30,52,77,120,160,97,47,36,42,003,484300,42003484300
470,469,24,87,1588,618,88,31,67,18,31,46,94,4,55,28,58,48,36,10,4,0,42,003,486800,42003486800
1010,1010,25,111,3503,1334,298,34,32,63,64,79,87,52,66,82,133,175,104,44,21,0,42,003,488200,42003488200
620,620,9,109,3003,1236,42,53,29,9,48,70,12,42,19,115,120,253,220,62,73,69,42,003,496101,42003496101
770,770,0,142,4310,1831,44,102,47,75,78,77,17,57,106,234,297,188,123,213,109,64,42,003,496102,42003496102
952,952,93,123,5754,2412,57,117,74,142,89,136,125,62,109,183,290,296,348,157,155,72,42,003,496200,42003496200
137,136,5,19,1008,452,19,6,20,12,15,15,32,21,13,53,54,75,48,32,24,13,42,003,497000,42003497000
414,414,24,61,1340,689,178,52,65,106,9,64,52,55,0,31,22,31,10,0,6,8,42,003,512800,42003512800
216,216,14,15,1018,499,132,39,55,11,28,42,26,15,47,46,52,0,0,0,6,0,42,003,512900,42003512900
217,217,0,43,1372,705,3,15,16,19,26,23,37,25,21,49,33,104,116,45,87,86,42,003,516100,42003516100
252,252,20,41,1189,576,24,53,34,15,13,19,49,19,29,61,83,90,26,16,27,18,42,003,448000,42003448000
593,593,30,85,2589,1045,63,20,16,16,18,57,52,60,68,60,99,204,108,88,97,19,42,003,449000,42003449000
1785,1778,110,182,7555,2688,29,18,32,48,43,82,28,42,47,188,228,368,299,258,364,614,42,003,451300,42003451300
2008,2008,111,327,6895,2541,119,66,93,30,28,25,51,30,84,248,223,352,183,279,290,440,42,003,456003,42003456003
1551,1551,63,300,8106,3869,87,161,89,82,165,131,61,210,77,302,249,507,439,303,186,820,42,003,458000,42003458000
465,465,29,99,1746,691,20,31,26,25,25,15,19,49,41,16,116,120,73,35,25,55,42,003,459101,42003459101
117,117,0,16,993,565,56,34,29,41,32,40,29,22,39,42,65,73,30,19,14,0,42,003,461000,42003461000
248,248,16,55,1300,603,33,17,18,39,10,19,43,28,33,26,56,44,103,61,39,34,42,003,141100,42003141100
279,279,39,19,1991,939,61,56,54,47,41,76,82,31,23,62,98,114,78,44,31,41,42,003,180700,42003180700
256,256,0,39,2438,1277,62,53,94,86,57,18,40,92,23,79,90,184,131,48,129,91,42,003,191100,42003191100
322,322,30,35,2223,1212,140,77,75,160,14,72,12,76,36,145,78,124,52,28,103,20,42,003,210700,42003210700
216,208,8,24,1805,1013,82,67,65,95,18,68,45,30,11,35,79,148,65,33,48,124,42,003,220600,42003220600
364,364,4,99,2080,996,61,78,51,82,13,67,34,38,116,98,69,128,71,49,34,7,42,003,260200,42003260200
234,234,16,54,997,409,18,0,49,10,26,5,5,10,9,16,46,74,48,28,52,13,42,003,310300,42003310300
285,285,19,39,2095,1017,50,19,70,74,43,33,82,35,49,12,99,214,54,89,68,26,42,003,429700,42003429700
267,267,9,34,1505,651,17,3,27,29,47,30,9,22,17,67,76,149,56,60,30,12,42,003,455000,42003455000
41,41,5,0,1212,821,21,5,11,0,0,23,18,0,13,53,79,164,78,81,105,170,42,003,020300,42003020300
251,236,37,60,721,325,84,32,36,45,15,34,19,21,5,11,12,2,0,6,3,0,42,003,120400,42003120400
844,844,64,213,5477,2469,211,48,88,88,41,30,183,60,146,161,269,467,287,108,117,165,42,003,151700,42003151700
1174,1174,26,183,4486,1869,247,157,64,150,100,212,59,34,97,195,156,180,91,49,71,7,42,003,290200,42003290200
902,902,108,184,4486,1992,117,58,98,63,124,56,132,88,59,196,159,330,189,124,117,82,42,003,430200,42003430200
730,719,41,123,5497,1977,88,0,52,91,75,59,110,99,84,162,236,282,306,169,78,86,42,003,451102,42003451102
838,838,47,137,3262,1581,325,348,120,186,41,87,23,88,28,82,78,94,25,37,0,19,42,003,464400,42003464400
450,450,23,112,2793,1320,53,23,33,54,101,31,15,68,50,63,186,215,153,52,172,51,42,003,470400,42003470400
335,335,31,0,2219,1192,36,31,45,39,33,95,74,85,114,129,135,149,110,16,69,32,42,003,472100,42003472100
905,905,32,119,3731,1566,39,49,15,94,87,23,91,32,24,18,83,105,136,177,215,378,42,003,473601,42003473601
1065,1065,83,185,4972,2031,121,33,37,17,60,54,63,40,30,164,214,351,268,249,169,161,42,003,475200,42003475200
347,347,18,25,2097,906,75,14,48,44,56,25,66,55,64,40,115,112,89,42,44,17,42,003,488100,42003488100
904,904,69,136,4633,2099,83,16,79,108,58,171,64,140,116,120,187,272,212,147,187,139,42,003,489001,42003489001
614,614,0,49,2289,892,91,92,53,48,105,24,38,10,29,58,96,111,48,57,18,14,42,003,492700,42003492700
336,336,0,86,2221,1148,122,110,61,62,96,38,90,147,74,94,100,63,0,31,60,0,42,003,492800,42003492800
187,187,17,54,4278,2538,487,316,113,87,128,226,44,13,77,201,106,239,75,0,198,228,42,003,070900,42003070900
380,379,29,18,2573,1232,108,82,60,35,17,87,59,47,69,139,125,126,120,72,47,39,42,003,101100,42003101100
293,293,57,46,882,378,9,55,76,87,12,26,22,0,14,53,18,0,0,0,6,0,42,003,120700,42003120700
682,682,11,43,2969,1391,240,258,98,63,35,50,119,24,0,75,210,129,27,9,46,8,42,003,130600,42003130600
290,290,19,40,2059,1004,28,30,8,27,34,67,67,41,98,64,177,184,78,58,15,28,42,003,191900,42003191900
228,228,0,32,2229,1260,28,82,105,163,107,53,50,108,53,86,80,117,115,41,64,8,42,003,432300,42003432300
730,730,17,180,3659,1535,8,34,17,28,43,8,66,8,56,191,239,172,113,166,163,223,42,003,451101,42003451101
287,287,15,47,3577,1507,323,180,224,82,44,44,91,71,25,111,75,84,39,55,59,0,42,003,040900,42003040900
307,307,39,19,2570,1294,62,79,133,74,42,83,93,36,89,59,156,82,100,41,116,49,42,003,160800,42003160800
286,286,17,65,945,379,125,29,63,11,29,9,14,27,7,28,27,8,0,0,2,0,42,003,130400,42003130400
74,74,7,15,1547,877,128,42,91,72,60,29,45,17,33,50,47,150,62,11,32,8,42,003,080400,42003080400
431,424,55,51,2205,1082,223,55,93,42,50,75,80,39,14,74,95,102,70,25,27,18,42,003,261400,42003261400
1274,1274,34,238,5401,2122,75,89,65,57,105,165,69,65,101,276,280,328,154,81,153,59,42,003,478200,42003478200
403,403,6,36,2363,1168,49,35,80,72,63,87,55,47,52,93,190,128,106,53,43,15,42,003,498000,42003498000
498,498,68,10,2383,1179,55,173,35,105,46,67,65,136,33,188,76,138,11,0,25,26,42,003,512000,42003512000
353,338,12,43,1321,624,49,44,0,53,44,104,77,26,46,36,49,39,46,11,0,0,42,003,561000,42003561000
360,360,10,0,3032,1506,57,23,19,85,78,76,109,80,73,171,124,267,159,30,54,101,42,003,419000,42003419000
705,705,33,84,3699,1559,92,9,26,76,74,17,49,81,18,138,96,196,233,187,153,114,42,003,413201,42003413201
1220,1220,12,313,5750,2396,108,56,51,111,117,158,50,56,92,199,150,333,305,205,268,137,42,003,452000,42003452000
389,389,29,42,2670,1254,212,39,91,97,93,55,54,57,48,106,88,102,61,103,31,17,42,003,465600,42003465600
684,684,35,101,4682,2221,144,27,87,123,42,211,119,122,27,180,208,374,249,143,79,86,42,003,475101,42003475101
231,231,17,39,1730,896,63,44,117,52,65,119,60,24,40,39,42,97,71,19,38,6,42,003,487000,42003487000
334,334,22,108,1449,669,50,40,43,38,36,20,29,24,25,61,69,91,59,18,66,0,42,003,404000,42003404000
161,161,13,46,2130,778,271,149,70,74,7,12,38,21,39,18,36,9,13,0,0,21,42,003,051000,42003051000
394,394,27,55,1869,789,174,110,75,89,57,54,11,23,10,28,40,83,35,0,0,0,42,003,513800,42003513800
785,785,0,220,4461,2132,127,70,78,102,82,108,77,109,88,122,346,306,364,49,24,80,42,003,521302,42003521302
619,619,48,55,4078,1863,46,87,112,71,54,52,103,129,61,128,151,344,246,133,102,44,42,003,521500,42003521500
794,794,78,61,4065,1844,31,62,80,85,106,114,90,184,104,108,201,234,150,114,99,82,42,003,523701,42003523701
832,832,21,123,4670,2325,91,17,69,113,148,149,180,130,79,380,329,262,210,48,49,71,42,003,523800,42003523800
429,429,10,25,2559,1296,247,112,33,82,89,39,72,198,40,54,118,69,96,12,35,0,42,003,262000,42003262000
291,291,19,36,1514,696,16,41,22,7,15,27,79,24,14,76,79,112,49,71,49,15,42,003,260700,42003260700
553,533,40,103,1744,769,183,54,30,56,18,63,33,40,23,40,85,77,29,9,22,7,42,003,261500,42003261500
777,777,16,145,4180,1879,69,58,98,40,141,85,98,130,87,218,184,398,149,48,76,0,42,003,191600,42003191600
668,668,6,82,3431,1486,96,0,19,74,53,43,32,10,13,30,119,83,167,155,187,405,42,003,140300,42003140300
558,558,44,38,4026,1754,55,38,59,91,89,88,74,74,51,234,239,245,110,126,97,84,42,003,470300,42003470300
113,113,3,11,1631,896,63,55,42,66,42,64,40,37,64,66,96,98,79,30,44,10,42,003,090300,42003090300
271,271,0,114,1230,694,182,157,109,40,33,68,19,14,8,8,8,19,6,23,0,0,42,003,130300,42003130300
