est_total_pop_u18,est_total_pop_u18_in_households,est_total_pop_u18_in_households_5yrs,est_total_pop_u18_in_households_6to8yrs,total_pop,est_total_household_income,est_total_household_income_u10k,est_total_household_income_10to15k,est_total_household_income_15to20k,est_total_household_income_20to25k,est_total_household_income_25to30k,est_total_household_income_30to35k,est_total_household_income_35to40k,est_total_household_income_40to45k,est_total_household_income_45to50k,est_total_household_income_50to60k,est_total_household_income_60to75k,est_total_household_income_75to100k,est_total_household_income_100to125k,est_total_household_income_125to150k,est_total_household_income_150to200k,est_total_household_income_200kplus,state,county,tract,GEOID,below60k,below60asperc
1010,1010,25,111,3503,1334,298,34,32,63,64,79,87,52,66,82,133,175,104,44,21,0,42,3,488200,42003488200,857,0.6424287856071964
414,414,24,61,1340,689,178,52,65,106,9,64,52,55,0,31,22,31,10,0,6,8,42,3,512800,42003512800,612,0.888243831640058
216,216,14,15,1018,499,132,39,55,11,28,42,26,15,47,46,52,0,0,0,6,0,42,3,512900,42003512900,441,0.8837675350701403
252,252,20,41,1189,576,24,53,34,15,13,19,49,19,29,61,83,90,26,16,27,18,42,3,448000,42003448000,316,0.5486111111111112
117,117,0,16,993,565,56,34,29,41,32,40,29,22,39,42,65,73,30,19,14,0,42,3,461000,42003461000,364,0.6442477876106195
279,279,39,19,1991,939,61,56,54,47,41,76,82,31,23,62,98,114,78,44,31,41,42,3,180700,42003180700,533,0.5676251331203408
322,322,30,35,2223,1212,140,77,75,160,14,72,12,76,36,145,78,124,52,28,103,20,42,3,210700,42003210700,807,0.6658415841584159
216,208,8,24,1805,1013,82,67,65,95,18,68,45,30,11,35,79,148,65,33,48,124,42,3,220600,42003220600,516,0.5093780848963475
364,364,4,99,2080,996,61,78,51,82,13,67,34,38,116,98,69,128,71,49,34,7,42,3,260200,42003260200,638,0.6405622489959839
251,236,37,60,721,325,84,32,36,45,15,34,19,21,5,11,12,2,0,6,3,0,42,3,120400,42003120400,302,0.9292307692307692
1174,1174,26,183,4486,1869,247,157,64,150,100,212,59,34,97,195,156,180,91,49,71,7,42,3,290200,42003290200,1315,0.7035848047084002
838,838,47,137,3262,1581,325,348,120,186,41,87,23,88,28,82,78,94,25,37,0,19,42,3,464400,42003464400,1328,0.8399746995572422
335,335,31,0,2219,1192,36,31,45,39,33,95,74,85,114,129,135,149,110,16,69,32,42,3,472100,42003472100,681,0.5713087248322147
347,347,18,25,2097,906,75,14,48,44,56,25,66,55,64,40,115,112,89,42,44,17,42,3,488100,42003488100,487,0.5375275938189845
614,614,0,49,2289,892,91,92,53,48,105,24,38,10,29,58,96,111,48,57,18,14,42,3,492700,42003492700,548,0.6143497757847534
336,336,0,86,2221,1148,122,110,61,62,96,38,90,147,74,94,100,63,0,31,60,0,42,3,492800,42003492800,894,0.7787456445993032
187,187,17,54,4278,2538,487,316,113,87,128,226,44,13,77,201,106,239,75,0,198,228,42,3,70900,42003070900,1692,0.6666666666666666
380,379,29,18,2573,1232,108,82,60,35,17,87,59,47,69,139,125,126,120,72,47,39,42,3,101100,42003101100,703,0.5706168831168831
293,293,57,46,882,378,9,55,76,87,12,26,22,0,14,53,18,0,0,0,6,0,42,3,120700,42003120700,354,0.9365079365079365
682,682,11,43,2969,1391,240,258,98,63,35,50,119,24,0,75,210,129,27,9,46,8,42,3,130600,42003130600,962,0.6915887850467289
228,228,0,32,2229,1260,28,82,105,163,107,53,50,108,53,86,80,117,115,41,64,8,42,3,432300,42003432300,835,0.6626984126984127
287,287,15,47,3577,1507,323,180,224,82,44,44,91,71,25,111,75,84,39,55,59,0,42,3,40900,42003040900,1195,0.7929661579296616
307,307,39,19,2570,1294,62,79,133,74,42,83,93,36,89,59,156,82,100,41,116,49,42,3,160800,42003160800,750,0.5795981452859351
286,286,17,65,945,379,125,29,63,11,29,9,14,27,7,28,27,8,0,0,2,0,42,3,130400,42003130400,342,0.9023746701846965
74,74,7,15,1547,877,128,42,91,72,60,29,45,17,33,50,47,150,62,11,32,8,42,3,80400,42003080400,567,0.6465222348916762
431,424,55,51,2205,1082,223,55,93,42,50,75,80,39,14,74,95,102,70,25,27,18,42,3,261400,42003261400,745,0.6885397412199631
1274,1274,34,238,5401,2122,75,89,65,57,105,165,69,65,101,276,280,328,154,81,153,59,42,3,478200,42003478200,1067,0.5028275212064091
403,403,6,36,2363,1168,49,35,80,72,63,87,55,47,52,93,190,128,106,53,43,15,42,3,498000,42003498000,633,0.5419520547945206
498,498,68,10,2383,1179,55,173,35,105,46,67,65,136,33,188,76,138,11,0,25,26,42,3,512000,42003512000,903,0.7659033078880407
353,338,12,43,1321,624,49,44,0,53,44,104,77,26,46,36,49,39,46,11,0,0,42,3,561000,42003561000,479,0.7676282051282052
360,360,10,0,3032,1506,57,23,19,85,78,76,109,80,73,171,124,267,159,30,54,101,42,3,419000,42003419000,771,0.5119521912350598
389,389,29,42,2670,1254,212,39,91,97,93,55,54,57,48,106,88,102,61,103,31,17,42,3,465600,42003465600,852,0.6794258373205742
231,231,17,39,1730,896,63,44,117,52,65,119,60,24,40,39,42,97,71,19,38,6,42,3,487000,42003487000,623,0.6953125
334,334,22,108,1449,669,50,40,43,38,36,20,29,24,25,61,69,91,59,18,66,0,42,3,404000,42003404000,366,0.547085201793722
161,161,13,46,2130,778,271,149,70,74,7,12,38,21,39,18,36,9,13,0,0,21,42,3,51000,42003051000,699,0.8984575835475579
394,394,27,55,1869,789,174,110,75,89,57,54,11,23,10,28,40,83,35,0,0,0,42,3,513800,42003513800,631,0.7997465145754119
794,794,78,61,4065,1844,31,62,80,85,106,114,90,184,104,108,201,234,150,114,99,82,42,3,523701,42003523701,964,0.5227765726681128
832,832,21,123,4670,2325,91,17,69,113,148,149,180,130,79,380,329,262,210,48,49,71,42,3,523800,42003523800,1356,0.5832258064516129
429,429,10,25,2559,1296,247,112,33,82,89,39,72,198,40,54,118,69,96,12,35,0,42,3,262000,42003262000,966,0.7453703703703703
553,533,40,103,1744,769,183,54,30,56,18,63,33,40,23,40,85,77,29,9,22,7,42,3,261500,42003261500,540,0.7022106631989596
777,777,16,145,4180,1879,69,58,98,40,141,85,98,130,87,218,184,398,149,48,76,0,42,3,191600,42003191600,1024,0.5449707291112293
113,113,3,11,1631,896,63,55,42,66,42,64,40,37,64,66,96,98,79,30,44,10,42,3,90300,42003090300,539,0.6015625
271,271,0,114,1230,694,182,157,109,40,33,68,19,14,8,8,8,19,6,23,0,0,42,3,130300,42003130300,638,0.9193083573487032
489,489,0,98,2073,837,49,85,101,59,62,55,76,24,16,88,76,32,58,26,30,0,42,3,180300,42003180300,615,0.7347670250896058
1040,1040,46,169,5141,2334,24,120,187,103,231,171,27,9,134,256,369,196,198,206,70,33,42,3,191800,42003191800,1262,0.5407026563838904
1039,1039,90,210,3102,1234,54,223,59,58,37,76,87,51,28,161,106,103,132,17,17,25,42,3,202200,42003202200,834,0.6758508914100486
1045,1040,78,48,3234,1132,158,49,107,66,50,42,38,38,101,124,147,160,38,0,0,14,42,3,271500,42003271500,773,0.6828621908127208
530,530,52,51,2007,888,66,44,122,107,40,31,69,10,48,96,71,123,29,26,6,0,42,3,290100,42003290100,633,0.7128378378378378
955,945,76,133,4204,1799,99,136,120,129,96,92,135,61,85,92,119,336,159,114,26,0,42,3,290400,42003290400,1045,0.5808782657031685
1052,1052,136,191,3863,1468,74,159,108,162,64,138,57,239,102,42,110,92,19,91,11,0,42,3,300100,42003300100,1145,0.7799727520435967
663,663,10,134,2883,1309,157,153,106,109,42,80,82,29,81,219,28,111,40,52,20,0,42,3,401200,42003401200,1058,0.8082505729564553
688,688,25,119,3350,1486,35,93,114,80,55,131,68,91,96,111,220,249,80,40,3,20,42,3,425000,42003425000,874,0.5881561238223418
255,255,21,113,3224,1868,118,114,74,158,79,186,126,169,209,144,155,162,65,40,37,32,42,3,431500,42003431500,1377,0.737152034261242
531,530,52,78,2515,1261,123,104,80,108,42,79,11,67,82,96,147,141,104,48,19,10,42,3,450800,42003450800,792,0.6280729579698652
456,456,27,110,2657,1320,157,78,99,71,122,77,91,34,64,155,145,50,74,32,39,32,42,3,463900,42003463900,948,0.7181818181818181
242,242,22,23,1524,740,31,34,82,32,18,36,12,23,51,71,88,109,65,35,37,16,42,3,468700,42003468700,390,0.527027027027027
381,381,90,57,2109,1145,319,163,112,121,67,17,18,15,43,64,107,19,25,11,20,24,42,3,30500,42003030500,939,0.8200873362445414
465,465,0,132,2467,974,170,66,64,59,89,27,103,125,82,39,40,80,11,12,0,7,42,3,561900,42003561900,824,0.8459958932238193
371,371,0,52,2005,1049,106,64,85,30,86,85,51,58,9,124,103,99,73,76,0,0,42,3,484600,42003484600,698,0.665395614871306
634,630,0,51,2362,1094,258,154,185,16,41,48,70,0,16,40,87,67,27,39,9,37,42,3,486700,42003486700,828,0.7568555758683729
567,567,36,57,1593,535,104,11,60,31,31,50,39,13,44,49,61,11,27,4,0,0,42,3,486900,42003486900,432,0.8074766355140187
946,946,71,124,4616,2132,109,153,127,228,87,189,24,69,94,344,76,270,199,14,30,119,42,3,488400,42003488400,1424,0.6679174484052532
479,479,39,134,2817,1301,12,81,51,96,60,102,74,47,59,150,116,194,155,29,50,25,42,3,488500,42003488500,732,0.5626441199077633
921,921,96,183,4758,2337,63,138,199,99,364,217,241,125,42,121,245,196,121,73,68,25,42,3,504100,42003504100,1609,0.6884895164741122
452,452,7,103,1576,800,119,60,46,92,61,124,90,20,11,43,93,23,0,13,0,5,42,3,510000,42003510000,666,0.8325
512,512,12,22,2223,897,62,54,68,41,53,66,25,40,33,86,88,89,135,31,9,17,42,3,270300,42003270300,528,0.5886287625418061
243,243,0,5,1469,627,110,62,59,13,22,36,6,11,25,61,49,57,40,10,46,20,42,3,111400,42003111400,405,0.645933014354067
596,596,64,66,1702,779,245,106,83,70,20,113,12,27,8,46,40,9,0,0,0,0,42,3,130100,42003130100,730,0.9370988446726572
550,550,19,33,3358,1645,197,130,166,68,50,162,192,54,60,114,160,126,138,0,15,13,42,3,424000,42003424000,1193,0.7252279635258359
119,119,0,5,1725,935,72,46,28,29,22,71,90,61,46,87,71,128,68,45,41,30,42,3,80200,42003080200,552,0.5903743315508021
559,559,50,102,3013,1434,134,205,71,108,113,48,35,85,0,102,142,85,44,0,114,148,42,3,111300,42003111300,901,0.6283124128312413
336,332,12,33,1745,934,245,50,80,90,72,85,38,22,81,59,16,9,32,49,6,0,42,3,50100,42003050100,822,0.880085653104925
